Date,PE,PB,DivYield
2021-09-17,16.49,3.38,1.42
2021-09-20,26.1,2.83,1.53
2021-09-21,28.7,3.06,1.19
2021-09-22,15.11,3.28,1.22
2021-09-23,19.83,4.48,1.63
2021-09-24,15.56,2.56,1.46
2021-09-27,30.97,3.52,1.24
2021-09-28,26.8,3.1,0.88
2021-09-29,19.13,3.8,1.34
2021-09-30,26.98,3.87,0.99
2021-10-01,26.22,3.57,1.04
2021-10-04,24.79,2.99,0.71
2021-10-05,29.49,2.49,1.23
2021-10-06,17.66,3.38,1.5
2021-10-07,25.31,3.1,1.45
2021-10-08,23.69,3.2,1.91
2021-10-11,23.24,2.48,1.19
2021-10-12,23.7,2.82,1.2
2021-10-13,16.56,2.4,1.73
2021-10-14,24.73,3.36,0.72
2021-10-15,22.18,3.44,1.17
2021-10-18,22.25,3.82,1.11
2021-10-19,20.76,2.88,0.82
2021-10-20,17.39,2.85,1.15
2021-10-21,22.97,3.44,1.07
2021-10-22,16.13,2.87,1.5
2021-10-25,16.78,2.95,0.96
2021-10-26,26.22,3.09,1.39
2021-10-27,20.75,3.89,1.57
2021-10-28,25.74,3.51,1.26
2021-10-29,20.04,3.23,0.99
2021-11-01,19.71,3.32,1.16
2021-11-02,24.84,4.62,1.34
2021-11-03,26.35,3.54,0.88
2021-11-04,22.85,2.64,1.31
2021-11-05,25.76,3.14,1.06
2021-11-08,26.74,2.79,1.29
2021-11-09,13.35,3.21,1.46
2021-11-10,23.32,3.67,1.11
2021-11-11,19.58,3.32,1.26
2021-11-12,18.93,4.07,1.04
2021-11-15,28.89,3.8,1.26
2021-11-16,18.02,3.4,1.22
2021-11-17,27.23,3.46,1.51
2021-11-18,17.58,3.31,1.22
2021-11-19,13.75,2.57,1.13
2021-11-22,22.17,2.98,1.11
2021-11-23,20.63,3.81,1.23
2021-11-24,28.11,2.69,0.96
2021-11-25,23.3,3.04,1.11
2021-11-26,25.05,3.0,1.24
2021-11-29,24.35,2.57,1.61
2021-11-30,30.01,3.12,1.36
2021-12-01,29.08,2.78,0.63
2021-12-02,17.49,2.69,1.7
2021-12-03,28.62,2.41,1.45
2021-12-06,19.53,2.69,1.24
2021-12-07,29.9,4.37,0.39
2021-12-08,22.74,3.6,0.8
2021-12-09,23.96,3.77,1.04
2021-12-10,26.39,2.24,1.69
2021-12-13,25.55,3.58,1.42
2021-12-14,14.64,2.82,1.24
2021-12-15,31.38,3.09,2.21
2021-12-16,28.97,3.9,0.76
2021-12-17,26.61,2.2,0.91
2021-12-20,15.98,3.14,1.07
2021-12-21,23.22,3.75,1.04
2021-12-22,22.44,2.39,1.49
2021-12-23,18.98,3.18,1.07
2021-12-24,24.92,2.45,1.04
2021-12-27,15.89,3.29,1.32
2021-12-28,23.23,2.85,1.5
2021-12-29,26.4,2.98,1.36
2021-12-30,16.66,4.29,1.31
2021-12-31,32.2,1.76,1.68
2022-01-03,24.08,3.29,1.14
2022-01-04,29.42,4.21,0.97
2022-01-05,18.88,2.82,1.38
2022-01-06,22.13,3.61,1.27
2022-01-07,17.06,3.4,1.26
2022-01-10,18.75,3.35,0.92
2022-01-11,24.15,2.55,1.15
2022-01-12,24.81,2.76,1.37
2022-01-13,26.19,3.25,1.09
2022-01-14,21.98,4.61,0.86
2022-01-17,23.35,3.42,0.75
2022-01-18,32.74,3.9,1.26
2022-01-19,27.1,2.74,1.24
2022-01-20,26.59,3.03,0.59
2022-01-21,23.99,2.76,1.06
2022-01-24,23.33,2.61,0.73
2022-01-25,24.0,3.24,0.93
