Date,PE,PB,DivYield
2021-09-17,31.65,3.25,1.19
2021-09-20,24.86,2.95,0.98
2021-09-21,27.24,3.12,1.06
2021-09-22,24.92,3.68,1.42
2021-09-23,30.8,2.93,0.95
2021-09-24,13.94,3.4,1.24
2021-09-27,19.07,2.6,1.39
2021-09-28,20.69,3.78,1.27
2021-09-29,20.31,2.76,1.26
2021-09-30,24.16,2.83,1.01
2021-10-01,28.55,3.98,1.27
2021-10-04,27.65,3.23,1.32
2021-10-05,31.18,3.52,1.15
2021-10-06,30.56,3.24,1.16
2021-10-07,33.23,2.79,1.18
2021-10-08,24.94,3.14,0.96
2021-10-11,24.57,2.89,1.32
2021-10-12,30.92,2.71,0.97
2021-10-13,24.47,2.92,1.05
2021-10-14,18.55,3.19,1.39
2021-10-15,28.91,3.2,1.39
2021-10-18,18.01,3.1,1.29
2021-10-19,31.62,3.22,1.29
2021-10-20,23.39,3.84,1.22
2021-10-21,33.11,2.97,1.35
2021-10-22,23.66,3.38,1.47
2021-10-25,30.88,4.16,1.39
2021-10-26,29.18,3.02,0.83
2021-10-27,29.43,2.12,1.36
2021-10-28,25.51,3.98,1.43
2021-10-29,30.37,3.21,1.41
2021-11-01,32.07,3.07,1.22
2021-11-02,26.68,3.22,1.4
2021-11-03,21.01,2.9,0.98
2021-11-04,22.64,3.38,0.63
2021-11-05,29.88,2.32,1.46
2021-11-08,24.0,3.65,0.99
2021-11-09,21.72,3.87,1.36
2021-11-10,33.67,3.31,1.3
2021-11-11,28.49,4.46,0.99
2021-11-12,19.62,3.47,1.68
2021-11-15,36.05,3.33,1.33
2021-11-16,28.88,2.68,1.33
2021-11-17,33.27,2.58,1.2
2021-11-18,30.28,3.22,1.77
2021-11-19,28.48,3.24,1.0
2021-11-22,21.35,4.88,0.91
2021-11-23,25.82,2.28,1.2
2021-11-24,17.3,3.66,1.2
2021-11-25,21.71,3.53,1.11
2021-11-26,27.71,2.41,1.48
2021-11-29,29.12,3.45,1.04
2021-11-30,22.72,3.47,1.14
2021-12-01,25.53,3.48,1.5
2021-12-02,26.13,2.73,1.31
2021-12-03,23.86,2.88,1.32
2021-12-06,22.59,2.76,0.98
2021-12-07,22.17,3.19,1.02
2021-12-08,21.84,3.31,1.29
2021-12-09,22.18,2.99,0.86
2021-12-10,25.02,2.71,1.81
2021-12-13,31.82,3.71,1.2
2021-12-14,33.37,3.37,1.24
2021-12-15,20.12,3.32,1.07
2021-12-16,28.39,3.58,0.92
2021-12-17,27.29,2.38,0.42
2021-12-20,22.03,3.64,1.26
2021-12-21,22.71,2.99,1.41
2021-12-22,26.32,3.4,1.19
2021-12-23,20.96,4.02,1.66
2021-12-24,22.71,2.23,1.49
2021-12-27,29.69,3.51,0.69
2021-12-28,27.05,4.31,1.45
2021-12-29,26.36,3.78,1.95
2021-12-30,25.48,3.43,0.83
2021-12-31,21.43,3.16,1.39
2022-01-03,21.68,2.83,1.81
2022-01-04,22.88,3.27,1.31
2022-01-05,22.54,2.64,0.56
2022-01-06,26.91,3.82,1.04
2022-01-07,26.03,2.45,1.16
2022-01-10,23.84,3.25,0.69
2022-01-11,22.6,2.76,1.53
2022-01-12,31.06,4.01,1.21
2022-01-13,24.44,2.63,1.15
2022-01-14,18.56,2.52,1.07
2022-01-17,27.64,3.98,0.95
2022-01-18,24.75,3.26,1.82
2022-01-19,21.96,4.09,0.87
2022-01-20,19.22,3.15,1.02
2022-01-21,23.06,4.3,0.67
2022-01-24,27.95,2.01,0.95
2022-01-25,30.9,3.84,1.05
2022-01-26,21.05,3.57,1.1
2022-01-27,25.46,3.55,1.68
2022-01-28,22.89,2.32,1.92
2022-01-31,19.1,3.32,1.07
2022-02-01,21.37,4.16,1.19
2022-02-02,21.54,2.49,1.63
2022-02-03,22.21,2.82,1.32
2022-02-04,28.58,3.66,0.54
2022-02-07,28.84,4.35,1.25
2022-02-08,31.24,2.9,0.1
2022-02-09,25.8,3.02,1.03
2022-02-10,29.36,3.46,1.47
2022-02-11,22.83,3.29,1.27
2022-02-14,27.17,3.24,1.32
2022-02-15,27.0,2.97,1.18
2022-02-16,22.46,3.79,1.11
2022-02-17,22.39,3.93,0.95
2022-02-18,26.52,3.36,0.76
2022-02-21,24.08,3.05,1.37
2022-02-22,28.66,4.48,1.1
2022-02-23,22.94,2.95,1.32
2022-02-24,33.39,2.21,1.54
2022-02-25,29.51,3.46,1.42
2022-02-28,21.23,3.54,1.13
2022-03-01,18.68,4.3,0.6
2022-03-02,33.97,4.28,1.25
2022-03-03,21.2,3.38,0.82
2022-03-04,24.11,3.63,0.88
2022-03-07,22.15,2.7,0.79
2022-03-08,27.64,1.68,0.99
2022-03-09,17.62,4.02,0.9
2022-03-10,17.93,3.12,1.2
2022-03-11,20.87,1.79,1.23
2022-03-14,29.03,3.28,1.34
2022-03-15,25.11,3.61,0.66
2022-03-16,24.16,3.21,1.28
2022-03-17,25.73,3.33,1.69
2022-03-18,30.86,3.94,0.38
2022-03-21,36.07,3.02,1.19
2022-03-22,31.56,3.69,1.56
2022-03-23,17.2,3.13,1.15
2022-03-24,26.87,3.42,1.15
2022-03-25,30.57,2.86,0.85
2022-03-28,23.91,3.55,1.45
2022-03-29,20.7,2.93,1.63
2022-03-30,23.05,3.24,0.92
2022-03-31,25.01,3.81,0.98
2022-04-01,38.07,3.75,0.92
2022-04-04,26.89,2.8,1.92
2022-04-05,20.2,2.98,1.59
2022-04-06,31.4,3.34,1.59
2022-04-07,23.57,2.54,1.08
2022-04-08,27.13,2.96,1.44
2022-04-11,25.86,4.24,1.09
2022-04-12,25.78,3.51,1.2
2022-04-13,21.78,3.58,0.86
2022-04-14,26.06,4.2,1.31
2022-04-15,23.43,3.0,1.16
2022-04-18,29.0,3.54,0.97
2022-04-19,22.88,4.54,1.61
2022-04-20,30.26,3.85,1.2
2022-04-21,25.34,3.12,1.31
2022-04-22,26.36,3.66,1.26
2022-04-25,23.56,3.72,1.28
2022-04-26,22.12,3.43,1.34
