Date,PE,PB,DivYield
2021-09-17,24.81,3.41,0.88
2021-09-20,21.07,3.06,1.4
2021-09-21,26.29,2.13,1.51
2021-09-22,24.19,3.39,1.08
2021-09-23,24.46,3.19,1.06
2021-09-24,25.39,4.06,1.28
2021-09-27,23.3,3.32,1.31
2021-09-28,32.21,3.92,0.78
2021-09-29,34.16,3.85,1.32
2021-09-30,29.94,2.81,0.98
2021-10-01,31.74,3.15,1.31
2021-10-04,30.12,3.18,1.05
2021-10-05,26.01,4.14,1.94
2021-10-06,30.08,2.26,0.98
2021-10-07,25.3,3.59,1.21
2021-10-08,28.95,3.78,1.21
2021-10-11,23.54,4.0,0.77
2021-10-12,29.41,3.21,0.89
2021-10-13,36.42,3.16,1.07
2021-10-14,23.32,2.35,1.56
2021-10-15,31.74,2.5,1.03
2021-10-18,27.59,3.76,1.48
2021-10-19,30.45,3.51,1.49
2021-10-20,32.9,4.1,1.35
2021-10-21,26.08,4.45,1.47
2021-10-22,26.17,2.87,1.0
2021-10-25,29.9,2.47,0.98
2021-10-26,24.98,3.27,1.26
2021-10-27,22.99,1.79,1.28
2021-10-28,30.13,3.66,1.38
2021-10-29,26.91,2.75,1.29
2021-11-01,32.48,2.45,1.78
2021-11-02,26.65,1.5,0.82
2021-11-03,22.8,3.03,1.18
2021-11-04,27.02,3.82,1.24
2021-11-05,31.41,1.75,1.24
2021-11-08,24.61,4.51,1.16
2021-11-09,27.1,3.89,1.81
2021-11-10,23.16,3.58,0.6
2021-11-11,29.18,4.2,1.09
2021-11-12,26.2,4.14,1.22
2021-11-15,25.14,3.15,1.12
2021-11-16,27.07,3.63,1.48
2021-11-17,23.4,2.73,0.95
2021-11-18,23.79,3.53,1.3
2021-11-19,24.44,2.74,1.15
2021-11-22,26.51,3.96,1.08
2021-11-23,29.96,3.83,1.03
2021-11-24,28.58,3.9,1.28
2021-11-25,20.74,2.13,0.86
2021-11-26,33.46,3.42,1.88
2021-11-29,29.82,4.2,1.46
2021-11-30,27.63,3.61,0.92
2021-12-01,29.34,3.0,1.74
2021-12-02,31.37,2.19,1.49
2021-12-03,33.34,3.7,0.92
2021-12-06,25.24,3.42,1.46
2021-12-07,24.9,4.06,1.27
2021-12-08,33.36,3.4,1.64
2021-12-09,30.06,2.87,0.82
2021-12-10,24.15,2.39,0.82
2021-12-13,21.97,2.85,0.9
2021-12-14,36.51,4.02,1.15
2021-12-15,29.19,3.87,1.1
2021-12-16,25.42,4.28,1.23
2021-12-17,32.59,3.53,0.97
2021-12-20,23.54,3.19,1.35
2021-12-21,23.58,2.48,1.12
2021-12-22,39.55,2.9,1.39
2021-12-23,24.15,2.5,1.37
2021-12-24,32.16,3.72,1.53
2021-12-27,27.73,3.15,0.96
2021-12-28,21.59,4.28,1.39
2021-12-29,25.43,3.62,1.11
2021-12-30,27.83,2.91,1.13
2021-12-31,22.86,3.09,1.85
2022-01-03,23.39,3.56,1.65
2022-01-04,26.1,3.4,1.57
2022-01-05,23.63,4.74,1.36
2022-01-06,29.58,4.19,0.87
2022-01-07,27.78,2.94,0.87
2022-01-10,19.56,2.53,1.21
2022-01-11,27.63,3.56,1.17
2022-01-12,33.49,3.25,0.78
2022-01-13,25.88,3.46,1.25
2022-01-14,26.73,2.54,1.39
2022-01-17,27.61,3.65,1.57
2022-01-18,30.38,3.0,1.37
2022-01-19,26.21,2.73,0.94
2022-01-20,26.6,2.45,1.31
2022-01-21,35.6,2.01,1.21
2022-01-24,27.76,2.39,0.9
2022-01-25,27.62,2.18,1.33
2022-01-26,33.89,3.77,1.14
2022-01-27,26.37,3.94,0.98
2022-01-28,27.22,3.49,0.92
2022-01-31,20.74,3.87,1.76
2022-02-01,39.78,3.0,0.74
2022-02-02,23.55,2.82,1.08
2022-02-03,28.4,3.35,1.63
2022-02-04,34.12,3.76,1.16
2022-02-07,32.16,2.93,0.7
2022-02-08,25.05,2.7,0.98
2022-02-09,30.33,2.78,2.09
2022-02-10,29.51,3.25,1.59
2022-02-11,28.42,2.89,1.09
2022-02-14,25.1,3.06,1.05
2022-02-15,28.83,3.1,1.17
2022-02-16,28.08,2.69,1.11
2022-02-17,27.06,3.21,0.74
2022-02-18,28.21,3.03,1.09
2022-02-21,23.25,3.26,1.27
2022-02-22,29.69,3.82,1.09
2022-02-23,27.17,3.47,1.21
2022-02-24,36.13,2.97,1.09
2022-02-25,26.24,3.04,1.49
2022-02-28,30.48,3.35,1.76
2022-03-01,28.82,4.18,1.46
2022-03-02,29.22,3.29,1.1
2022-03-03,29.07,3.25,0.75
2022-03-04,34.07,3.19,1.13
2022-03-07,29.64,3.6,1.02
2022-03-08,34.13,2.49,1.05
2022-03-09,31.38,3.11,0.95
2022-03-10,28.6,2.53,1.3
2022-03-11,31.08,1.8,1.18
2022-03-14,24.24,2.61,0.98
2022-03-15,36.6,2.18,1.06
2022-03-16,37.85,2.45,0.84
2022-03-17,31.56,2.79,0.74
2022-03-18,36.97,2.95,1.55
2022-03-21,30.06,3.05,0.77
2022-03-22,30.54,3.03,1.7
2022-03-23,31.53,2.37,1.07
2022-03-24,30.5,2.33,0.43
