Company,NSE Symbol,Sector,Industry,Market Cap (Cr),P/E,P/B,EPS Growth 1Y (%),EPS Growth 3Y (%),Profit Growth 1Y (%),Profit Growth 3Y (%),Revenue Growth (%),ROCE (%),ROE (%),ROA (%),OCF_PAT,Net_Debt_EBITDA,Debt/Equity,Current Ratio,Interest Coverage,CMP,50 DMA,200 DMA,1Y Return (%),3Y CAGR (%),5Y CAGR (%),FII Holding Change (%),DII Holding Change (%),Avg Daily Turnover (Cr)
ACME Solar Holdings Ltd.,ACMESOLAR,Power,Utilities - Renewable,28230.47,40.53753,4.7833323,71.5,,97.9,,46.800000000000004,7.11,,1.75,2.5,7.79,3.93,2.17,1.6,399.7,372.31,285.46,37.57,,,,,49.85
Aadhar Housing Finance Ltd.,AADHARHFC,Financial Services,Mortgage Finance,20772.83,18.421972,2.7418907,18.4,24.7,20.18,26.23,19.6,12.04,,4.0,-2.56,6.48,2.56,1.24,2.05,474.55,507.0,485.37,-8.29,,,,,20.49
Aarti Industries Ltd.,AARTIIND,Chemicals,Specialty Chemicals,19520.14,35.757477,3.266643,258.0,-8.42,26.59,-8.4,42.5,8.53,,3.15,1.86,3.72,0.83,0.83,2.07,538.15,493.13,438.64,40.77,4.4,,,,49.07
Aavas Financiers Ltd.,AAVAS,Financial Services,Mortgage Finance,10435.36,15.267982,2.0635254,23.3,14.82,14.07,15.08,16.900000000000002,2.75,,3.09,-2.12,24.72,3.11,1603.96,111.01,1316.1,1439.45,1398.2,-19.6,-5.5,,,,27.1
Action Construction Equipment Ltd.,ACE,Capital Goods,Farm & Heavy Construction Machinery,13741.77,31.50068,6.8318458,22.3,34.25,1.43,34.23,20.5,28.46,,12.77,1.01,-0.09,0.39,1.33,26.18,1154.5,1041.84,935.33,15.72,17.03,,,,38.07
Acutaas Chemicals Ltd.,ACUTAAS,Healthcare,Specialty Chemicals,26272.44,91.94842,15.892039,67.10000000000001,23.5,271.06,30.17,59.099999999999994,16.51,,10.24,0.75,-0.69,2.08,3.91,35.76,3209.0,3351.25,2482.09,125.6,73.6,,,,94.07
Aditya Birla Fashion and Retail Ltd.,ABFRL,Consumer Services,Apparel Manufacturing,6551.13,,1.1221342,,,,,10.6,-3.18,,-4.37,-0.21,6.62,0.99,1.25,-0.81,53.84,58.77,65.7,-33.74,-35.37,,,,48.23
Aditya Birla Lifestyle Brands Ltd.,ABLBL,Consumer Services,Apparel Retail,10362.08,58.83448,7.373379,20.0,,187.0,,11.1,13.23,,1.96,7.13,2.12,2.14,1.07,1.6,85.31,94.14,106.46,-38.44,,,,,20.57
Aditya Birla Real Estate Ltd.,ABREL,Realty,Real Estate Services,15652.29,,4.230728,,,,,29.7,-5.19,,-0.51,-7.24,-13.0,1.52,1.44,-6.41,1415.5,1387.99,1419.63,-21.58,11.48,,,,32.16
Aditya Birla Sun Life AMC Ltd.,ABSLAMC,Financial Services,Asset Management,28932.96,29.016253,7.145001,11.3,17.71,4.78,17.8,10.6,30.72,,22.08,0.83,0.0,1.58,10.88,253.61,999.9,1066.68,922.68,16.18,38.81,,,,34.86
Aditya Infotech Ltd.,CPPLUS,Capital Goods,Building Products & Equipment,39843.58,82.83325,21.138783,303.7,53.6,4.72,50.32,89.5,25.9,,9.22,0.04,0.03,0.1,1.53,18.16,3368.0,3555.06,2304.81,161.42,,,,,62.87
Aegis Logistics Ltd.,AEGISLOG,Oil Gas & Consumable Fuels,Oil & Gas Refining & Marketing,46784.79,39.587173,7.7265987,269.0,24.72,35.39,24.71,37.1,14.22,,6.2,2.26,0.93,0.47,1.71,11.69,1332.9,1271.55,849.71,80.8,52.94,,,,124.96
Aegis Vopak Terminals Ltd.,AEGISVOPAK,Oil Gas & Consumable Fuels,Oil & Gas Equipment & Services,29760.65,97.31884,6.9362674,30.4,,54.9,,42.5,7.94,,3.67,2.26,4.76,0.84,0.37,4.81,268.6,270.41,231.27,6.68,,,,,27.32
Afcons Infrastructure Ltd.,AFCONS,Construction,Engineering & Construction,10496.57,73.17948,1.9260489,-78.10000000000001,-15.17,-48.34,-15.09,-20.8,9.96,,1.31,-0.51,2.38,0.67,1.29,1.74,285.4,291.1,326.97,-33.31,,,,,38.34
Affle 3i Ltd.,AFFLE,Information Technology,Advertising Agencies,24007.51,50.37803,6.5593567,20.3,20.73,19.11,22.97,20.4,15.3,,10.29,1.1,-1.73,0.41,3.59,107.17,1705.8,1552.84,1552.69,-11.95,15.42,,,,50.69
Allied Blenders and Distillers Ltd.,ABDL,Fast Moving Consumer Goods,Beverages - Wineries & Distilleries,17582.58,77.41379,10.575014,-12.9,422.32,17.17,422.36,6.1,24.62,,5.5,1.59,1.81,0.68,1.34,3.61,628.6,628.9,558.77,20.8,,,,,26.62
Amara Raja Energy & Mobility Ltd.,ARE&M,Automobile and Auto Components,Electrical Equipment & Parts,16833.76,18.249008,2.0785077,15.9,7.02,-5.18,7.02,23.9,14.23,,7.82,1.25,0.1,0.05,1.64,41.27,919.75,887.06,864.06,-6.04,14.9,,,,71.66
Amber Enterprises India Ltd.,AMBER,Consumer Durables,"Furnishings, Fixtures & Appliances",26043.48,278.03088,5.944331,-79.3,2.52,-27.06,4.16,12.7,7.7,,1.29,1.35,2.62,0.47,1.13,2.18,7384.5,7510.11,7226.57,1.71,42.76,,,,250.35
Anand Rathi Wealth Ltd.,ANANDRATHI,Financial Services,Asset Management,35780.23,78.16104,35.84629,71.0,32.79,32.05,32.96,52.1,50.03,,29.8,0.71,-0.27,0.08,3.83,34.92,2154.9,2050.23,1710.01,53.9,89.36,,,,85.97
Anant Raj Ltd.,ANANTRAJ,Realty,Real Estate - Development,22078.45,38.248127,3.814065,13.4,50.22,30.81,54.46,6.6000000000000005,10.39,,8.11,-0.78,-0.3,0.12,9.75,54.61,613.5,583.24,541.18,12.32,46.18,,,,196.67
Angel One Ltd.,ANGELONE,Financial Services,Capital Markets,26793.88,26.634876,4.366113,100.0,-2.14,-21.93,0.93,23.0,26.86,,3.83,-4.53,4.33,1.29,1.23,4.15,293.25,317.35,282.66,18.68,26.61,,,,235.06
Anupam Rasayan India Ltd.,ANURAS,Chemicals,Specialty Chemicals,14316.62,81.549934,4.290052,-9.4,-17.57,-27.41,-15.03,34.8,8.66,,1.77,-0.32,3.16,0.41,1.42,2.94,1257.5,1247.38,1271.49,9.51,10.77,,,,40.48
Aptus Value Housing Finance India Ltd.,APTUS,Financial Services,Mortgage Finance,12690.72,12.882562,2.5076444,19.0,23.17,25.52,23.3,16.8,,,7.23,-0.52,,1.56,,,253.4,273.33,261.6,-27.51,-0.22,,,,45.27
Asahi India Glass Ltd.,ASAHIINDIA,Automobile and Auto Components,Auto Parts,24256.32,54.746838,6.1650004,153.2,-2.72,-7.16,-1.88,15.0,10.79,,4.44,1.46,2.06,0.56,1.43,3.25,951.5,894.65,912.71,10.92,21.61,,,,21.24
Aster DM Quality Care Ltd.,ASTERDM,Healthcare,Medical Care Facilities,66364.78,125.22204,8.574244,-81.39999999999999,-4.11,-92.78,-2.97,21.6,9.71,,4.78,1.69,2.08,0.46,1.99,5.63,761.35,802.93,694.97,27.13,47.12,,,,83.67
Ather Energy Ltd.,ATHERENERG,Automobile and Auto Components,Auto Manufacturers,57842.14,,21.51187,,,,,88.8,-13.43,,-10.95,-0.06,-2.02,0.26,2.42,-6.34,1446.2,1251.76,889.24,247.56,,,,,330.44
Atul Ltd.,ATUL,Chemicals,Specialty Chemicals,19007.6,23.898718,3.0549204,92.0,9.75,40.08,9.66,25.0,13.52,,8.58,1.51,0.08,2.91,3.61,56.69,6456.0,6511.48,6362.06,2.25,-2.66,,,,21.82
BEML Ltd.,BEML,Capital Goods,Conglomerates,15948.18,89.143394,5.4359736,,-23.51,-51.68,-3.62,29.299999999999997,5.91,,2.02,0.84,0.92,0.11,2.01,5.4,1914.8,1811.3,1763.97,-4.66,24.77,,,,73.6
BLS International Services Ltd.,BLS,Consumer Services,Specialty Business Services,9946.49,15.88042,4.0380244,10.8,50.4,35.12,50.66,25.3,26.11,,18.21,1.31,-0.07,0.15,2.91,35.3,241.7,251.09,276.57,-33.7,-0.11,,,,99.94
Balrampur Chini Mills Ltd.,BALRAMCHIN,Fast Moving Consumer Goods,Confectioners,14334.67,38.9563,3.306699,-15.4,10.07,-13.38,10.02,6.1,11.79,,4.5,1.58,3.89,0.77,1.13,8.29,677.45,602.25,507.81,16.71,19.67,,,,52.74
Bandhan Bank Ltd.,BANDHANBNK,Financial Services,Banks - Regional,27952.78,20.828331,1.0914421,34.599999999999994,-17.7,-55.43,-17.69,21.6,,,0.58,0.93,,0.56,,,173.5,188.63,171.92,1.02,-7.97,,,,178.98
Bata India Ltd.,BATAINDIA,Consumer Durables,Footwear & Accessories,8788.71,61.492805,5.508075,23.0,-25.38,-59.41,-25.38,3.9,11.23,,3.55,4.43,1.87,0.87,1.72,2.35,683.8,679.21,753.44,-35.15,-25.41,,,,23.67
Bayer Cropscience Ltd.,BAYERCROP,Chemicals,Agricultural Inputs,18219.52,25.064919,6.143411,15.4,-3.13,21.34,-3.13,-4.2,27.93,,12.09,1.56,-1.38,2.76,1.92,44.18,4054.0,4133.23,4389.97,-24.0,-1.49,,,,12.72
Belrise Industries Ltd.,BELRISE,Automobile and Auto Components,Auto Parts,22031.72,40.39007,3.8787673,-8.7,18.19,39.79,16.57,12.6,14.69,,5.81,1.76,0.57,0.29,1.97,3.87,227.8,237.5,200.57,55.41,,,,,120.59
Bikaji Foods International Ltd.,BIKAJI,Fast Moving Consumer Goods,Packaged Foods,15088.06,58.42233,9.388993,0.4,23.33,28.65,23.48,12.5,18.81,,11.53,1.18,0.58,0.18,2.47,34.16,601.75,637.6,663.74,-24.29,7.89,,,,12.73
Birlasoft Ltd.,BSOFT,Information Technology,Information Technology Services,8233.62,14.659034,2.0012913,50.8,15.78,0.31,16.05,7.3999999999999995,18.6,,9.84,0.93,-0.32,3.42,4.29,41.31,294.5,299.15,358.65,-19.89,-11.71,,,,58.41
Blue Dart Express Ltd.,BLUEDART,Services,Integrated Freight & Logistics,11871.09,41.353943,6.6802506,189.1,-12.6,-1.99,-12.6,8.0,16.93,,5.99,3.28,0.95,0.64,1.04,4.82,5003.0,4998.6,5284.37,-14.51,-7.15,,,,35.21
Blue Jet Healthcare Ltd.,BLUEJET,Healthcare,Biotechnology,10243.13,44.166042,7.5321755,-14.299999999999999,15.7,-18.8,15.69,-17.4,23.96,,15.1,1.35,-0.05,3.1,4.21,54.3,590.5,573.83,488.53,-23.71,,,,,37.03
Bombay Burmah Trading Corporation Ltd.,BBTC,Fast Moving Consumer Goods,Packaged Foods,9946.68,7.7121987,1.4124837,19.7,160.56,10.69,,7.8,34.76,,8.55,1.95,0.23,0.17,1.19,25.34,1425.6,1507.06,1628.4,-21.88,11.3,,,,18.02
Brainbees Solutions Ltd.,FIRSTCRY,Consumer Services,Internet Retail,9411.6,,1.9327028,,,,,13.100000000000001,-0.15,,-1.55,-2.6,3.4,0.3,2.14,-0.07,193.91,213.22,246.51,-50.16,,,,,79.94
Brigade Enterprises Ltd.,BRIGADE,Realty,Real Estate - Development,21768.08,33.02326,31.913164,33.800000000000004,27.81,-6.03,30.27,-12.9,9.78,,2.45,-0.21,3.41,0.84,1.24,3.3,667.4,560.43,573.76,-7.23,15.02,,,,39.14
C.E. Info Systems Ltd.,MAPMYINDIA,Information Technology,Software - Infrastructure,5298.68,39.461662,5.855229,7.9,7.83,-8.85,7.75,14.899999999999999,20.68,,12.95,0.7,-0.24,0.78,4.92,135.98,967.6,1013.27,1172.01,-44.31,-14.06,,,,35.12
CCL Products (I) Ltd.,CCL,Fast Moving Consumer Goods,Packaged Foods,14652.22,33.843548,6.242048,61.0,10.87,25.06,10.97,13.8,20.51,,8.97,2.21,1.51,0.56,1.49,4.78,1098.9,1162.87,1066.24,21.98,22.01,,,,35.72
CESC Ltd.,CESC,Power,Utilities - Regulated Electric,20322.32,13.058773,1.6227745,3.8,4.71,12.56,4.72,5.4,9.98,,3.32,2.63,3.48,1.64,0.92,2.45,153.31,159.82,160.18,-0.24,30.41,,,,37.06
CIE Automotive India Ltd.,CIEINDIA,Automobile and Auto Components,Auto Parts,15024.65,16.767569,1.9404608,15.9,,0.08,,10.6,13.43,,7.7,1.52,0.14,0.07,1.5,49.99,396.05,440.5,437.8,-0.72,-6.07,,,,16.11
Can Fin Homes Ltd.,CANFINHOME,Financial Services,Mortgage Finance,10722.27,9.48804,1.7928947,19.6,20.45,26.67,20.45,22.5,,,2.45,-2.68,,6.37,,,805.25,852.9,864.76,4.7,4.51,,,,19.09
Canara HSBC Life Insurance Company Ltd.,CANHLIFE,Financial Services,Insurance - Life,14497.47,110.87681,8.785599,20.200000000000003,,8.23,,18.3,,8.276,0.2,,-12.59,0.15,2.91,16.11,153.01,145.77,140.8,,,,,,27.08
Caplin Point Laboratories Ltd.,CAPLIPOINT,Healthcare,Drug Manufacturers - Specialty & Generic,18894.23,29.202301,5.3800235,15.9,19.58,19.57,19.44,19.6,21.96,,15.85,0.82,-0.1,0.13,6.7,923.75,2485.7,2550.46,2015.32,12.79,38.25,,,,22.27
Capri Global Capital Ltd.,CGCL,Financial Services,Credit Services,23016.65,19.480457,3.201638,79.4,58.51,98.35,66.75,85.8,3.26,,2.9,-9.2,18.94,3.35,88.79,31.81,239.22,233.73,195.12,27.41,-32.39,,,,51.47
Carborundum Universal Ltd.,CARBORUNIV,Capital Goods,Conglomerates,21108.0,99.72997,5.412191,23.5,-22.04,-33.48,-22.23,19.400000000000002,7.1,,3.68,1.89,-0.72,0.1,2.67,16.51,1108.0,1114.66,938.83,12.37,-3.71,,,,25.08
Cartrade Tech Ltd.,CARTRADE,Consumer Services,Auto & Truck Dealerships,15313.79,68.032326,6.0832114,22.400000000000002,87.99,65.61,87.16,16.3,10.99,,7.41,1.15,0.32,0.05,4.79,24.23,3156.7,2762.86,2380.45,29.92,83.67,,,,150.15
Castrol India Ltd.,CASTROLIND,Oil Gas & Consumable Fuels,Oil & Gas Refining & Marketing,18515.38,17.543581,9.714064,42.1,5.22,2.45,5.23,25.0,65.01,56.996,24.88,1.15,-0.26,2.78,1.51,139.03,187.19,181.38,177.66,-3.5,13.6,,,,32.93
Ceat Ltd.,CEATLTD,Automobile and Auto Components,Auto Parts,14274.84,24.154688,2.426235,-96.2,55.4,47.69,55.34,22.3,17.68,,5.02,2.56,1.6,0.65,0.68,3.81,3529.0,3573.46,3589.38,12.02,13.92,,,,64.93
Cemindia Projects Ltd.,CEMPRO,Construction,Engineering & Construction,21938.99,36.95312,9.142778,2.6,68.81,60.34,68.79,7.000000000000001,37.12,,8.43,0.84,0.47,0.38,1.25,6.85,1277.1,1371.39,905.12,67.77,92.67,,,,63.09
Central Bank of India,CENTRALBK,Financial Services,Banks - Regional,28204.16,6.194831,0.6894568,2.8000000000000003,37.33,14.99,39.15,-3.2,,11.560000500000001,0.88,0.62,,0.48,,,31.16,31.84,34.52,-10.65,2.64,,,,31.19
Central Depository Services (India) Ltd.,CDSL,Financial Services,Capital Markets,28973.67,61.778076,14.7842045,-19.900000000000002,18.22,-13.39,18.23,4.2,29.74,23.913,16.64,1.02,-0.05,0.11,2.92,3511.0,1386.6,1347.01,1341.35,-11.12,34.01,,,,246.33
Chalet Hotels Ltd.,CHALET,Consumer Services,Lodging,19589.02,37.070038,5.293401,-57.699999999999996,48.8,352.5,52.09,-42.699999999999996,16.59,,8.83,1.65,1.79,0.64,0.7,5.54,894.5,830.15,823.37,-12.52,22.52,,,,13.71
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT,Chemicals,Agricultural Inputs,17244.07,8.944306,1.6547036,-4.6,25.19,18.42,23.61,-11.799999999999999,21.78,,13.56,0.07,0.26,0.1,2.33,1883.02,430.4,450.58,444.71,-21.64,19.62,,,,40.1
Chennai Petroleum Corporation Ltd.,CHENNPETRO,Oil Gas & Consumable Fuels,Oil & Gas Refining & Marketing,20899.71,4.939988,1.8813547,,-4.22,1349.25,-4.22,84.8,33.44,,15.49,0.95,0.22,0.18,1.62,35.68,1403.5,1193.85,991.97,123.95,61.37,,,,218.5
Choice International Ltd.,CHOICEIN,Financial Services,Capital Markets,17681.77,69.56179,9.38901,15.4,55.08,39.06,53.58,34.4,17.78,,6.1,-1.23,1.68,0.5,2.06,4.55,793.7,791.53,746.25,0.93,64.94,,,,48.94
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG,Financial Services,Credit Services,29054.81,10.8872795,1.8800662,39.300000000000004,23.67,12.31,23.68,13.900000000000002,4.09,,0.91,-12.3,26.19,6.23,0.85,140.73,1547.3,1593.46,1663.77,-17.89,18.48,,,,38.99
City Union Bank Ltd.,CUB,Financial Services,Banks - Regional,21679.42,15.844316,2.0519145,25.2,12.36,18.03,12.26,23.3,,,1.37,0.61,,0.46,,,218.81,213.69,202.65,39.13,31.33,,,,69.77
Clean Science and Technology Ltd.,CLEAN,Chemicals,Specialty Chemicals,8730.05,37.421413,5.514936,4.7,-8.04,-13.14,-8.02,10.5,19.17,,12.88,1.2,-0.07,0.14,5.01,875.77,821.4,778.96,802.47,-28.39,-14.66,,,,34.12
Cohance Lifesciences Ltd.,COHANCE,Healthcare,Drug Manufacturers - Specialty & Generic,16994.97,159.78418,4.3534513,-96.8,-33.83,-63.22,-24.18,-23.1,4.81,,3.13,2.06,0.81,0.1,2.83,6.56,444.2,441.03,433.58,-50.54,-3.15,,,,96.04
Computer Age Management Services Ltd.,CAMS,Financial Services,Information Technology Services,18467.13,37.468513,13.962941,17.0,18.22,1.24,18.61,11.5,44.21,,26.29,1.23,0.07,4.86,3.43,91.0,743.75,779.4,740.98,-3.13,18.33,,,,105.41
Concord Biotech Ltd.,CONCORDBIO,Healthcare,Biotechnology,16050.22,52.77606,7.957221,31.1,2.59,-29.8,2.81,26.200000000000003,16.7,,11.68,1.02,-0.02,0.12,7.39,1223.15,1534.2,1355.34,1255.87,-11.25,,,,,33.49
Craftsman Automation Ltd.,CRAFTSMAN,Automobile and Auto Components,Auto Parts,27364.08,54.005577,7.646584,113.3,11.04,97.35,15.62,36.3,14.0,,4.28,1.36,2.74,1.11,1.18,2.82,10462.5,9720.83,8133.26,52.35,31.54,,,,57.2
CreditAccess Grameen Ltd.,CREDITACC,Financial Services,Credit Services,22910.7,19.667078,2.9202867,715.2,-2.22,46.34,-1.99,149.5,6.28,16.364999,2.44,-3.56,18.2,3.03,1.38,8.41,1429.6,1512.17,1343.69,2.22,-0.49,,,,74.29
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,Consumer Durables,"Furnishings, Fixtures & Appliances",15624.59,,5.267328,14.7,,,,11.799999999999999,-1.52,,-3.98,-2.99,0.4,0.06,1.43,-2.58,242.65,258.83,256.7,-22.46,-6.08,,,,85.66
Cyient Ltd.,CYIENT,Information Technology,Conglomerates,9623.68,26.697948,1.7976303,-32.4,-6.21,-30.5,-5.95,21.3,10.48,,5.14,1.84,-1.04,0.08,2.93,11.6,924.55,864.11,967.62,-23.83,-16.09,,,,43.91
DCM Shriram Ltd.,DCMSHRIRAM,Diversified,Conglomerates,16413.06,11.536954,2.1968024,511.00000000000006,-2.15,41.23,-2.15,9.3,11.14,,6.04,1.45,1.58,0.38,1.49,6.96,1059.9,1029.5,1115.46,-15.45,8.58,,,,18.31
DOMS Industries Ltd.,DOMS,Fast Moving Consumer Goods,Business Equipment & Supplies,13420.01,61.87185,11.000891,-22.5,33.76,13.76,33.92,19.2,23.49,,13.45,1.1,0.21,0.11,2.17,30.83,2211.3,2269.82,2354.92,-10.96,,,,,30.88
Data Patterns (India) Ltd.,DATAPATTNS,Capital Goods,Aerospace & Defense,25332.19,96.50032,14.592544,-13.4,26.75,22.34,29.83,16.8,20.35,,14.07,0.3,-0.13,0.3,10.45,686.92,4524.9,4492.73,3530.63,75.05,31.36,,,,306.88
Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT,Chemicals,Chemicals,18565.59,18.843143,2.710176,101.6,-15.76,-21.03,-15.22,22.5,11.21,,4.47,0.28,2.97,0.76,1.36,3.95,1469.2,1555.7,1292.89,-2.61,40.32,,,,51.19
Deepak Nitrite Ltd.,DEEPAKNTR,Chemicals,Chemicals,23917.88,30.80274,4.0977516,207.39999999999998,-13.54,-21.04,-13.54,36.4,10.85,,6.34,0.98,1.36,0.28,2.4,17.45,1753.6,1673.31,1625.14,-2.72,-4.58,,,,34.26
Delhivery Ltd.,DELHIVERY,Services,Integrated Freight & Logistics,33075.72,367.91666,3.401675,-65.0,,-5.82,,27.800000000000004,2.62,,1.19,5.97,1.25,0.15,2.59,1.97,441.5,477.44,442.37,-6.78,2.19,,,,139.86
Devyani International Ltd.,DEVYANI,Consumer Services,Restaurants,18368.34,,11.913634,300.0,,,,16.5,4.31,,-0.57,-23.79,3.77,2.03,0.51,0.79,148.98,120.97,122.9,-14.43,-7.6,,,,52.23
Dr. Lal Path Labs Ltd.,LALPATHLAB,Healthcare,Diagnostics & Research,31613.9,58.453228,12.604523,27.800000000000004,28.08,3.62,28.32,19.1,25.67,,16.05,1.26,-0.05,0.08,3.48,30.35,1893.3,1769.64,1534.06,13.02,18.49,,,,59.39
E.I.D. Parry (India) Ltd.,EIDPARRY,Fast Moving Consumer Goods,Agricultural Inputs,14408.18,30.053823,1.6380558,-42.4,-15.69,-35.16,-15.6,3.4000000000000004,15.67,,1.95,2.71,2.24,0.24,1.42,6.12,809.55,762.72,860.77,-30.83,17.87,,,,24.82
EIH Ltd.,EIHOTEL,Consumer Services,Lodging,18770.31,26.632652,3.5669718,246.3,25.94,-15.03,25.93,14.499999999999998,16.23,,9.58,1.58,0.07,4.67,2.69,45.91,300.15,320.46,329.44,-25.77,13.08,,,,20.2
Elecon Engineering Co. Ltd.,ELECON,Capital Goods,Specialty Industrial Machinery,9683.98,42.226025,4.1997547,-59.8,12.82,-17.81,12.83,6.1,18.59,,10.55,0.92,0.18,0.12,2.94,20.82,431.55,473.3,464.6,-22.11,3.0,,,,34.04
Elgi Equipments Ltd.,ELGIEQUIP,Capital Goods,Specialty Industrial Machinery,19212.39,42.888813,8.60805,21.099999999999998,5.14,22.84,5.08,22.6,25.66,,12.13,1.05,0.54,0.24,2.08,23.73,609.45,592.01,526.74,21.15,6.48,,,,29.82
Emami Ltd.,EMAMILTD,Fast Moving Consumer Goods,Household & Personal Products,17573.49,23.29861,6.0101213,-16.2,6.99,-3.87,6.62,14.899999999999999,28.59,,20.21,1.03,-0.01,0.06,2.31,77.02,402.6,407.43,451.03,-32.91,-2.54,,,,29.0
